rider_id,rider_name,sign_up
1,Ravi Kumar,2024-01-10
2,Anil Singh,2024-01-22
3,Sunil Yadav,2024-02-05
4,Ramesh Verma,2024-02-19
5,Amit Patel,2024-03-03
6,Suresh Reddy,2024-03-17
7,Mahesh Gupta,2024-03-29
8,Pankaj Sharma,2024-04-11
9,Rohit Mehra,2024-04-26
10,Arvind Joshi,2024-05-08
11,Sandeep Rao,2024-05-21
12,Deepak Choudhary,2024-06-02
13,Manoj Tiwari,2024-06-18
14,Siddharth Jain,2024-07-01
15,Vinay Dubey,2024-07-15
16,Ashok Malhotra,2024-07-28
17,Ravi Ranjan,2024-08-05
18,Naveen Nair,2024-08-19
19,Pawan Kumar,2024-09-03
20,Karthik Iyer,2024-09-17
21,Rajesh Shukla,2024-10-01
22,Gopal Das,2024-10-14
23,Lokesh Agarwal,2024-10-28
24,Vikas Anand,2024-11-05
25,Mukesh Chauhan,2024-11-12
26,Rahul Bhatia,2024-11-20
27,Sahil Khan,2024-11-28
28,Vijay Singh,2024-12-03
29,Amit Singh,2024-12-07
30,Kiran Desai,2024-12-10
31,Vikram Sharma,2024-12-14
32,Nisha Patel,2024-12-18
33,Raj Kumar,2024-12-22
34,Sanjay Kumar,2024-12-26
